"myData0"	"myData1"	"myData2"
1.240548542E0	1.064144969E0	""
1.240951000E0	1.114531040E0	""
1.241426833E0	9.268339872E-1	""
1.242441417E0	1.076833010E0	""
1.274267167E0	1.003023028E0	""
1.274636958E0	7.500560284E-1	""
1.274997792E0	6.034730077E-1	""
1.299926917E0	6.135990024E-1	""
1.300290208E0	5.602239966E-1	""
1.300671708E0	4.478619993E-1	""
1.329883583E0	3.401969969E-1	""
1.330254958E0	2.009340078E-1	""
1.330595625E0	1.345050037E-1	""
1.331145583E0	3.330599889E-2	""
1.359689875E0	-1.124840006E-1	""
1.360248500E0	-2.910920084E-1	""
1.361148500E0	-4.286470115E-1	""
1.389592125E0	-6.030460000E-1	""
1.389987583E0	-7.775059938E-1	""
1.390793250E0	-9.181720018E-1	""
1.420304958E0	-1.017541051E0	""
1.420658583E0	-1.089582086E0	""
1.420981625E0	-1.032119989E0	""
1.449840875E0	-9.491600394E-1	""
1.450187250E0	-9.856380224E-1	""
1.450660625E0	-1.043344021E0	""
1.479812917E0	-8.474119902E-1	""
1.480192167E0	-6.645339727E-1	""
1.480563083E0	-5.575399995E-1	""
1.481421125E0	-4.887929857E-1	""
1.509749583E0	-4.956249893E-1	""
1.510145750E0	-4.440190196E-1	""
1.511107833E0	-3.058539927E-1	""
1.539617042E0	-1.995310038E-1	""
1.539989000E0	-5.715700239E-2	""
1.540756667E0	1.146800071E-2	""
1.570538375E0	1.641509980E-1	""
1.571128833E0	2.973749936E-1	""
1.571513125E0	4.102250040E-1	""
1.599957167E0	5.709600449E-1	""
1.600343042E0	7.592059970E-1	""
1.600796542E0	8.862689734E-1	""
1.629818125E0	9.762440324E-1	""
1.630242417E0	1.036878109E0	""
1.630579042E0	1.122461081E0	""
1.631485333E0	9.601399899E-1	""
1.659698083E0	1.063108087E0	""
1.660066625E0	9.998509884E-1	""
1.660929625E0	7.508490086E-1	""
1.689591583E0	6.836270094E-1	""
1.689935083E0	7.116260529E-1	""
1.690845792E0	6.161000133E-1	""
1.720231542E0	4.449949861E-1	""
1.721010125E0	3.428810239E-1	""
1.721757917E0	2.864559889E-1	""
1.749797542E0	2.477210015E-1	""
1.750129542E0	5.361900106E-2	""
1.750717792E0	-9.027999640E-2	""
1.779758000E0	-2.005070001E-1	""
1.780105875E0	-3.165900111E-1	""
1.780461875E0	-5.129490495E-1	""
1.781319750E0	-6.896049976E-1	""
1.809696958E0	-8.256350160E-1	""
1.810057000E0	-9.803920388E-1	""
1.812013000E0	-1.105015039E0	""
1.839769875E0	-1.146617055E0	""
1.840191167E0	-1.094218016E0	""
1.840692958E0	-1.046515942E0	""
1.870554542E0	-1.076650023E0	""
1.871289667E0	-9.464760423E-1	""
1.871969083E0	-8.233169913E-1	""
1.899812583E0	-6.958879828E-1	""
1.900199250E0	-5.986539721E-1	""
1.900694083E0	-5.254539847E-1	""
1.929829958E0	-4.675039947E-1	""
1.930206667E0	-3.836289942E-1	""
1.930636667E0	-2.583349943E-1	""
1.931343875E0	-1.548180133E-1	""
1.959650458E0	-1.098000072E-2	""
1.960033708E0	1.893440038E-1	""
1.960865708E0	3.009740114E-1	""
1.989634292E0	4.543890059E-1	""
1.990039417E0	6.275680065E-1	""
1.990797375E0	7.686610222E-1	""
2.019683458E0	8.303320408E-1	""
2.020404125E0	9.059110284E-1	""
2.021487250E0	1.066341043E0	""
2.080873167E0	1.076100945E0	""
2.081668583E0	9.788669944E-1	""
2.082407000E0	1.033462048E0	""
2.083120500E0	1.027423024E0	""
2.083802917E0	7.208980322E-1	""
2.084347000E0	6.560549736E-1	""
2.084706792E0	6.090850234E-1	""
2.109727333E0	5.490000248E-1	""
2.110074083E0	4.290130138E-1	""
2.110675250E0	3.088430166E-1	""
2.139680417E0	2.541869879E-1	""
2.140088542E0	1.884900033E-1	""
2.140675958E0	1.030289978E-1	""
2.169619333E0	-6.423300505E-2	""
2.170301708E0	-1.637850106E-1	""
2.171725417E0	-2.688879967E-1	""
2.199785125E0	-4.055280089E-1	""
2.200157417E0	-5.928590298E-1	""
2.200707458E0	-6.903370619E-1	""
2.229851417E0	-8.285629749E-1	""
2.230196292E0	-9.858210087E-1	""
2.230517458E0	-1.044442058E0	""
2.231366500E0	-1.020956993E0	""
2.259581458E0	-9.544060230E-1	""
2.259930833E0	-8.555859923E-1	""
2.260629333E0	-8.150209785E-1	""
2.289671542E0	-8.729709983E-1	""
2.290013500E0	-9.553209543E-1	""
2.290816375E0	-6.994869709E-1	""
2.324371708E0	-4.698219895E-1	""
2.324728250E0	-4.482280016E-1	""
2.325103167E0	-4.204120040E-1	""
2.349839167E0	-3.114050031E-1	""
2.350250250E0	-1.645780057E-1	""
2.350610708E0	9.027999826E-3	""
2.379780875E0	1.809259951E-1	""
2.380149750E0	2.806610167E-1	""
2.380524083E0	4.257799983E-1	""
2.381195583E0	5.574180484E-1	""
2.409663958E0	6.945460439E-1	""
2.410023583E0	7.917190194E-1	""
2.410816917E0	8.487540483E-1	""
2.439765875E0	8.676030040E-1	""
2.440153708E0	8.714460135E-1	""
2.440723750E0	6.607519984E-1	""
2.469663667E0	6.964979768E-1	""
2.470006417E0	7.677460313E-1	""
2.470556167E0	5.199639797E-1	""
2.499751750E0	5.105090141E-1	""
2.500118625E0	4.908060133E-1	""
2.500455375E0	4.379799962E-1	""
2.501294625E0	3.397699893E-1	""
2.529797667E0	2.838940024E-1	""
2.530138083E0	2.300919890E-1	""
2.531281458E0	1.776320040E-1	""
2.560637792E0	7.527400553E-2	""
2.560996083E0	1.030899957E-2	""
2.561360333E0	-8.210600168E-2	""
2.589657250E0	-1.814140081E-1	""
2.590036875E0	-3.112829924E-1	""
2.590917542E0	-4.415790141E-1	""
2.619651458E0	-5.566860437E-1	""
2.619984458E0	-6.732569933E-1	""
2.620755292E0	-7.645740509E-1	""
2.654067167E0	-8.432640433E-1	""
2.654493500E0	-7.983679771E-1	""
2.654878167E0	-6.421470046E-1	""
2.655307042E0	-8.476560116E-1	""
2.679920958E0	-8.297830224E-1	""
2.680349458E0	-6.813090444E-1	""
2.680854458E0	-6.738060117E-1	""
2.709821500E0	-6.320820451E-1	""
2.710244083E0	-5.657750368E-1	""
2.710842542E0	-4.872069955E-1	""
2.739682375E0	-3.852759898E-1	""
2.740080750E0	-2.605310082E-1	""
2.741337833E0	-9.650199860E-2	""
2.769665625E0	6.246400252E-2	""
2.770063708E0	1.506090015E-1	""
2.770641500E0	2.701690197E-1	""
2.799851333E0	3.812499940E-1	""
2.800244000E0	4.765320122E-1	""
2.800607750E0	4.945270121E-1	""
2.801312250E0	5.300289989E-1	""
2.829871083E0	6.307399869E-1	""
2.830228667E0	6.519069672E-1	""
2.859648792E0	7.288890481E-1	""
2.860002167E0	7.534109950E-1	""
2.860366583E0	3.727709949E-1	""
2.861395333E0	6.905809641E-1	""
2.919941542E0	7.460910082E-1	""
2.920297708E0	4.955029786E-1	""
2.920659542E0	4.731160104E-1	""
2.921050417E0	5.019689798E-1	""
2.921414542E0	3.844220042E-1	""
2.922904125E0	3.184810281E-1	""
2.949781917E0	2.386320084E-1	""
2.950131250E0	2.097180039E-1	""
2.950494583E0	1.476199925E-1	""
2.951373708E0	3.001200035E-2	""
2.979864500E0	-5.081300065E-2	""
2.980194458E0	-1.436550021E-1	""
3.009638250E0	-2.211860120E-1	""
3.009980917E0	-3.250690103E-1	""
3.010362583E0	-3.953410089E-1	""
3.011556417E0	-4.007090032E-1	""
3.040025375E0	-4.145559967E-1	""
3.040418083E0	-4.216320217E-1	""
3.040776500E0	-4.739699960E-1	""
3.069771333E0	-3.624620140E-1	""
3.070179500E0	-2.272859961E-1	""
3.070623167E0	-1.253550053E-1	""
3.130225667E0	-1.160830036E-1	""
3.130579792E0	-1.329190135E-1	""
3.130919542E0	-1.135210022E-1	""
3.131279750E0	-1.143140048E-1	""
3.131636625E0	-1.301739961E-1	""
3.132189708E0	-1.248060018E-1	""
3.133319750E0	-1.118739992E-1	""
3.160251792E0	-9.570899606E-2	""
3.160640500E0	-5.325300246E-2	""
3.161005333E0	-2.013000101E-2	""
3.189793958E0	-1.140700094E-2	""
3.190048625E0	-8.906000294E-3	""
3.190654417E0	-9.821000509E-3	""
3.219664958E0	-1.024799980E-2	""
3.219896000E0	-1.000399981E-2	""
3.220604000E0	-1.055300049E-2	""
3.250019708E0	-1.079699956E-2	""
3.250384333E0	-9.759999812E-3	""
3.250712875E0	-1.006500050E-2	""
3.251432583E0	-9.943000041E-3	""
3.279754250E0	-9.759999812E-3	""
3.280089292E0	-9.455000050E-3	""
3.280717625E0	-1.018700004E-2	""
3.309703708E0	-9.699000046E-3	""
3.310064917E0	-1.030899957E-2	""
3.310897542E0	-9.455000050E-3	""
3.340147625E0	-9.515999816E-3	""
3.340502792E0	-9.272000752E-3	""
3.341740000E0	-1.049200073E-2	""
3.369885000E0	-1.006500050E-2	""
3.370243750E0	-1.018700004E-2	""
3.370582333E0	-1.018700004E-2	""
3.399865292E0	-1.104100049E-2	""
3.400242708E0	-1.116300002E-2	""
3.400604958E0	-1.085800026E-2	""
3.401209667E0	-1.000399981E-2	""
3.429776708E0	-1.000399981E-2	""
3.430153708E0	-9.272000752E-3	""
3.430564708E0	-1.055300049E-2	""
3.459721250E0	-1.049200073E-2	""
3.460046250E0	-1.061400026E-2	""
3.460616500E0	-9.759999812E-3	""
3.490169833E0	-1.037000027E-2	""
3.490551208E0	-1.030899957E-2	""
3.490901875E0	-1.091900002E-2	""
3.520527792E0	-1.104100049E-2	""
3.521229250E0	-1.091900002E-2	""
3.521867250E0	-1.104100049E-2	""
3.550156250E0	-9.576999582E-3	""
3.550485542E0	-9.576999582E-3	""
3.550820667E0	-1.055300049E-2	""
3.551692167E0	-1.098000072E-2	""
3.579725750E0	-9.759999812E-3	""
3.580084833E0	-9.394000284E-3	""
3.580716500E0	-9.882000275E-3	""
3.609658042E0	-1.000399981E-2	""
3.610001208E0	-1.073599979E-2	""
3.610878917E0	-1.049200073E-2	""
3.639954750E0	-9.576999582E-3	""
3.640323917E0	-1.018700004E-2	""
3.640700042E0	-1.110200025E-2	""
3.669599375E0	-1.030899957E-2	""
3.669955250E0	-1.079699956E-2	""
3.670589125E0	-1.037000027E-2	""
3.700070208E0	-9.699000046E-3	""
3.700433792E0	-8.723000064E-3	""
3.700768292E0	-9.638000280E-3	""
3.701400833E0	-9.699000046E-3	""
3.730079167E0	-1.110200025E-2	""
3.730467375E0	-1.024799980E-2	""
3.730977542E0	-1.104100049E-2	""
3.759807333E0	-1.061400026E-2	""
3.760192417E0	-1.085800026E-2	""
3.760796667E0	-1.043100003E-2	""
3.789650375E0	-1.073599979E-2	""
3.790230750E0	-1.110200025E-2	""
3.790698250E0	-1.067500003E-2	""
3.820044250E0	-9.515999816E-3	""
3.820847958E0	-9.515999816E-3	""
3.821522042E0	-1.006500050E-2	""
3.850003417E0	-9.882000275E-3	""
3.850360625E0	-1.006500050E-2	""
3.850682375E0	-1.006500050E-2	""
3.851273875E0	-8.906000294E-3	""
3.879782833E0	-1.091900002E-2	""
3.880150167E0	-8.845000528E-3	""
3.880703167E0	-1.037000027E-2	""
3.909998000E0	-9.759999812E-3	""
3.910358667E0	-1.128499955E-2	""
3.910780000E0	-9.394000284E-3	""
3.940014500E0	-1.171199977E-2	""
3.940390417E0	-1.085800026E-2	""
3.940723208E0	-1.012600027E-2	""
3.969545458E0	-1.037000027E-2	""
3.969919833E0	-1.000399981E-2	""
3.970503167E0	-1.061400026E-2	""
3.999826583E0	-9.759999812E-3	""
4.000188167E0	-1.000399981E-2	""
4.000507083E0	-1.146800071E-2	""
4.001351208E0	-1.012600027E-2	""
4.029631375E0	-1.110200025E-2	""
4.030003750E0	-1.000399981E-2	""
4.030727625E0	-1.104100049E-2	""
4.059953458E0	-1.030899957E-2	""
4.060324458E0	-1.061400026E-2	""
4.060780708E0	-1.073599979E-2	""
4.089783375E0	-9.821000509E-3	""
4.090177667E0	-9.882000275E-3	""
4.090788708E0	-1.091900002E-2	""
4.119835625E0	-1.043100003E-2	""
4.120209167E0	-9.272000752E-3	""
4.120588208E0	-1.049200073E-2	""
4.121590250E0	-1.073599979E-2	""
4.149911042E0	-1.000399981E-2	""
4.150266917E0	-1.006500050E-2	""
4.180244458E0	-1.000399981E-2	""
4.181362750E0	-1.055300049E-2	""
4.182015083E0	-9.455000050E-3	""
4.182363875E0	-1.079699956E-2	""
4.209305125E0	-1.049200073E-2	""
4.209505125E0	-1.030899957E-2	""
4.210405833E0	-9.576999582E-3	""
4.270103917E0	-1.006500050E-2	""
4.270818833E0	-9.759999812E-3	""
4.271524750E0	-1.128499955E-2	""
